uid,name,city,state,country,latitude,longitude,url
335,St. George Orthodox Church,"Michigan City, IN",IN,United States,41.713307,-86.877569,https://directory.stinnocentpress.com/viewparish.cgi?Uid=335&lang=en
556,St. Anthony the Great Orthodox Church,"Newburgh, IN",IN,United States,37.9735869,-87.4331589,https://directory.stinnocentpress.com/viewparish.cgi?Uid=556&lang=en
471,St. Nectarios Western-Rite Stavropegial Orthodox Church,"South Bend, IN",IN,United States,41.6813108,-86.2036946,https://directory.stinnocentpress.com/viewparish.cgi?Uid=471&lang=en
544,St. Athanasius,"Davenport, IA",IA,United States,41.5351152495707,-90.5767376588955,https://directory.stinnocentpress.com/viewparish.cgi?Uid=544&lang=en
425,St. John the Wonderworker Western-Rite Stavropegial Orthodox Church,"Des Moines, IA",IA,United States,41.6005448,-93.6091064,https://directory.stinnocentpress.com/viewparish.cgi?Uid=425&lang=en
567,Holy Annunciation Mission,"Sioux City, IA",IA,United States,42.4954772,-96.4045124,https://directory.stinnocentpress.com/viewparish.cgi?Uid=567&lang=en
86,Sts. Peter and Fevronia Orthodox Church,"Merriam, KS",KS,United States,39.040787,-94.702637,https://directory.stinnocentpress.com/viewparish.cgi?Uid=86&lang=en
599,Holy St. Matronaof Moscow Mission,"Versailles, KY",KY,United States,38.0487688,-84.7033482,https://directory.stinnocentpress.com/viewparish.cgi?Uid=599&lang=en
429,Monastery of Our Lady and Holy Forerunner and Baptist John (with the Convent of St. Mary Magdalene),"Bush, LA",LA,United States,30.560476,-89.87366,https://directory.stinnocentpress.com/viewparish.cgi?Uid=429&lang=en
497,St. John the Theologian Orthodox Mission,"New Roads, LA",LA,United States,30.6935593,-91.4330266,https://directory.stinnocentpress.com/viewparish.cgi?Uid=497&lang=en
643,Holy Archangels Mission,"Caribou, ME",ME,United States,46.8539202,-68.0063972,https://directory.stinnocentpress.com/viewparish.cgi?Uid=643&lang=en
583,St. Spyridon Mission,"Caribou, ME",ME,United States,46.8324208,-68.0418077,https://directory.stinnocentpress.com/viewparish.cgi?Uid=583&lang=en
397,Surety of Sinners Orthodox Mission,"Drew Plantation, ME",ME,United States,45.7754783,-68.1199035,https://directory.stinnocentpress.com/viewparish.cgi?Uid=397&lang=en
55,St. Alexander Nevsky Orthodox Church,"Richmond, ME",ME,United States,44.09,-69.8,https://directory.stinnocentpress.com/viewparish.cgi?Uid=55&lang=en
568,St. Polycarp of Smyrna Church,"Sanford, ME",ME,United States,43.4239998,-70.7666268,https://directory.stinnocentpress.com/viewparish.cgi?Uid=568&lang=en
573,Holy Archangels Orthodox Church,"Waterville, ME",ME,United States,44.5563938,-69.6381258,https://directory.stinnocentpress.com/viewparish.cgi?Uid=573&lang=en
585,St. John of Shanghai Mission and &quot;Surety of Sinners&quot; Chapel,"Wytopitlock, ME",ME,United States,45.6027179,-68.0565875,https://directory.stinnocentpress.com/viewparish.cgi?Uid=585&lang=en
13,Holy Transfiguration Orthodox Church,"Baltimore, MD",MD,United States,39.291651,-76.586065,https://directory.stinnocentpress.com/viewparish.cgi?Uid=13&lang=en
14,Holy Apostles Orthodox Church,"Beltsville, MD",MD,United States,39.031532,-76.912128,https://directory.stinnocentpress.com/viewparish.cgi?Uid=14&lang=en
555,St.Thecla Orthodox Church,"Kensington, MD",MD,United States,39.0258967,-77.0717138,https://directory.stinnocentpress.com/viewparish.cgi?Uid=555&lang=en
379,Parish of St.John of Shanghai and San Francisco the Miracle Worker,"Framingham , MA",MA,United States,42.305926,-71.433489,https://directory.stinnocentpress.com/viewparish.cgi?Uid=379&lang=en
8,Orthodox Church of St. John the Russian,"Ipswich, MA",MA,United States,42.678928,-70.843478,https://directory.stinnocentpress.com/viewparish.cgi?Uid=8&lang=en
51,St. Xenia Orthodox Church,"Methuen, MA",MA,United States,42.698436,-71.232731,https://directory.stinnocentpress.com/viewparish.cgi?Uid=51&lang=en
50,Russian Orthodox Church of the Epiphany,"Roslindale, MA",MA,United States,42.2880068,-71.1381041,https://directory.stinnocentpress.com/viewparish.cgi?Uid=50&lang=en
584,Holy Protection Orthodox Mission at Holy Protection Chapel and Orthodox Christian Education Center,"West Brookfield, MA",MA,United States,42.2735647,-72.1331207,https://directory.stinnocentpress.com/viewparish.cgi?Uid=584&lang=en
415,Christ the Savior Mission,"Worcester, MA",MA,United States,42.2657369,-71.8022207,https://directory.stinnocentpress.com/viewparish.cgi?Uid=415&lang=en
332,Sts. Sergius and Herman of Valaam Monastery,"Atlantic Mine, MI",MI,United States,47.098816,-88.623367,https://directory.stinnocentpress.com/viewparish.cgi?Uid=332&lang=en
558,&quot;Joy of All Who Sorrow&quot; Mission,"Cadillac, MI",MI,United States,44.2589588,-85.408761,https://directory.stinnocentpress.com/viewparish.cgi?Uid=558&lang=en
142,St. Vladimir Orthodox Church,"Dexter, MI",MI,United States,42.295055,-83.9262825,https://directory.stinnocentpress.com/viewparish.cgi?Uid=142&lang=en
143,Assumption of the Virgin Mary Russian Orthodox Cathedral,"Ferndale, MI",MI,United States,42.463345,-83.143394,https://directory.stinnocentpress.com/viewparish.cgi?Uid=143&lang=en
557,Michael Boyar,"Gibraltar, MI",MI,United States,42.0898364,-83.1979063,https://directory.stinnocentpress.com/viewparish.cgi?Uid=557&lang=en
648,St. Jacob of Alaska Mission,"Ishpeming, MI",MI,United States,46.4939528,-87.6634933,https://directory.stinnocentpress.com/viewparish.cgi?Uid=648&lang=en
75,St. Herman of Alaska Orthodox Church,"Lake Odessa/Woodbury, MI",MI,United States,42.759955,-85.072244,https://directory.stinnocentpress.com/viewparish.cgi?Uid=75&lang=en
180,St. Seraphim of Sarov Mission,"Lansing, MI",MI,United States,42.760897,-84.543294,https://directory.stinnocentpress.com/viewparish.cgi?Uid=180&lang=en
433,Christ the Saviour Western-Rite Stavropegial Orthodox Church,"Livonia, MI",MI,United States,42.4122335,-83.3316313,https://directory.stinnocentpress.com/viewparish.cgi?Uid=433&lang=en
620,St. Sebastian Orthodox Mission,"Traverse City, MI",MI,United States,44.7066439,-85.5962173,https://directory.stinnocentpress.com/viewparish.cgi?Uid=620&lang=en
503,St. Sabbas Russian Orthodox Stavropegial Monastery,"jhtfh, MI",MI,United States,42.4413571,-82.9442486,https://directory.stinnocentpress.com/viewparish.cgi?Uid=503&lang=en
79,Resurrection of Christ Russian Orthodox Church and Skete; Chapel of St. Seraphim of Sarov and Holy Elders of Optina,"Fridley, MN",MN,United States,45.071235,-93.239123,https://directory.stinnocentpress.com/viewparish.cgi?Uid=79&lang=en
615,Chapel of Saint Seraphim of Sarov and Holy Elders of Optina,"Fridley-Minneapolis, MN",MN,United States,45.0715168,-93.2429477,https://directory.stinnocentpress.com/viewparish.cgi?Uid=615&lang=en
144,St. Panteleimon Russian Orthodox Church,"Minneapolis, MN",MN,United States,44.964581,-93.2088355,https://directory.stinnocentpress.com/viewparish.cgi?Uid=144&lang=en
465,Saints Aidan and Cuthbert Western-Rite Stavropegial Orthodox Church,"St. Paul, MN",MN,United States,44.974773,-93.116584,https://directory.stinnocentpress.com/viewparish.cgi?Uid=465&lang=en
602,St. John the Wonderworker Mission,"Diamondhead, MS",MS,United States,30.3885517,-89.3592227,https://directory.stinnocentpress.com/viewparish.cgi?Uid=602&lang=en
623,St. John the Wonderworker,"Diamonhead, , MS",MS,United States,30.3884784,-89.3623312,https://directory.stinnocentpress.com/viewparish.cgi?Uid=623&lang=en
645,Convent of St. Mary Magdalene,"Pass Christian, MS",MS,United States,30.3225973,-89.2293839,https://directory.stinnocentpress.com/viewparish.cgi?Uid=645&lang=en
331,St. Basil the Great Orthodox Church,"Des Peres, MO",MO,United States,38.5804828,-90.4505957,https://directory.stinnocentpress.com/viewparish.cgi?Uid=331&lang=en
94,St. John Chrysostom Orthodox Church,"House Springs, MO",MO,United States,38.413616,-90.585437,https://directory.stinnocentpress.com/viewparish.cgi?Uid=94&lang=en
683,Saint Genevieve of Paris Orthodox Parish,"St.Charles, MO",MO,United States,38.7736375,-90.4919335,https://directory.stinnocentpress.com/viewparish.cgi?Uid=683&lang=en
512,Holy Cross Western-Rite Stavropegial Orthodox Church,"Ralston, NE",NE,United States,41.2067958,-96.0261788,https://directory.stinnocentpress.com/viewparish.cgi?Uid=512&lang=en
550,St. Andrew,"Carson City, NV",NV,United States,39.1714007,-119.7673835,https://directory.stinnocentpress.com/viewparish.cgi?Uid=550&lang=en
542,Sant Columba,"Fernley, NV",NV,United States,39.617509,-119.220125,https://directory.stinnocentpress.com/viewparish.cgi?Uid=542&lang=en
653,All Saints Church,"Las Vegas, NV",NV,United States,36.2036027,-115.2099199,https://directory.stinnocentpress.com/viewparish.cgi?Uid=653&lang=en
237,Holy Royal Martyrs of Russia Orthodox Church,"Sparks, NV",NV,United States,39.5434306,-119.752343,https://directory.stinnocentpress.com/viewparish.cgi?Uid=237&lang=en
660,St. Panteleimon Chapel,"Branchville, NJ",NJ,United States,41.1701324,-74.8029605,https://directory.stinnocentpress.com/viewparish.cgi?Uid=660&lang=en
7,St. Panteleimon Church,"Branchville, NJ",NJ,United States,41.1706429153213,-74.8002433776855,https://directory.stinnocentpress.com/viewparish.cgi?Uid=7&lang=en
48,Hermitage of the Holy Protection,"Buena, NJ",NJ,United States,39.540555,-74.898506,https://directory.stinnocentpress.com/viewparish.cgi?Uid=48&lang=en
591,Synodal Skete of St. Nicholas of Myra,"Freehold, NJ",NJ,United States,40.2684429,-74.2784293,https://directory.stinnocentpress.com/viewparish.cgi?Uid=591&lang=en
43,St. Alexander Nevsky Orthodox Cathedral and Church of our Lady of Tikhvin,"Howell, NJ",NJ,United States,40.114877,-74.207066,https://directory.stinnocentpress.com/viewparish.cgi?Uid=43&lang=en
147,St. George Church,"Howell, NJ",NJ,United States,40.173565,-74.235497,https://directory.stinnocentpress.com/viewparish.cgi?Uid=147&lang=en
659,St. Vladimirâ€™s Cemetery,"Jackson, NJ",NJ,United States,40.1238361,-74.3948272,https://directory.stinnocentpress.com/viewparish.cgi?Uid=659&lang=en
42,St. Vladimir Memorial Church,"Jackson, NJ",NJ,United States,40.11079,-74.392357,https://directory.stinnocentpress.com/viewparish.cgi?Uid=42&lang=en
46,Holy Virgin Protection Church,"New Brunswick, NJ",NJ,United States,40.4901104,-74.4518425,https://directory.stinnocentpress.com/viewparish.cgi?Uid=46&lang=en
34,Our Lady of Kazan Orthodox Church,"Newark, NJ",NJ,United States,40.776055,-74.167792,https://directory.stinnocentpress.com/viewparish.cgi?Uid=34&lang=en
36,St. Cosmas and Damian Church,"Passaic, NJ",NJ,United States,40.869056,-74.123044,https://directory.stinnocentpress.com/viewparish.cgi?Uid=36&lang=en
